sura,ء,آ,أ,ؤ,إ,ئ,ا,ب,ة,ت,ث,ج,ح,خ,د,ذ,ر,ز,س,ش,ص,ض,ط,ظ,ع,غ,ف,ق,ك,ل,م,ن,ه,و,ى,ي,sum_letters,num_words,alef,hamza,all_ta,all_ya,all_waw
11,49.0,30.0,247.0,17.0,165.0,27.0,977.0,283.0,57.0,234.0,32.0,79.0,86.0,57.0,146.0,96.0,323.0,35.0,122.0,43.0,60.0,32.0,28.0,24.0,244.0,34.0,186.0,180.0,256.0,793.0,699.0,634.0,328.0,592.0,57.0,564.0,7816.0,1947.0,1476.0,123.0,291.0,564.0,592.0
12,31.0,27.0,290.0,15.0,127.0,28.0,935.0,269.0,37.0,229.0,29.0,80.0,101.0,71.0,141.0,81.0,255.0,34.0,166.0,42.0,61.0,32.0,19.0,14.0,218.0,28.0,198.0,193.0,219.0,809.0,488.0,633.0,347.0,475.0,46.0,539.0,7307.0,1795.0,1425.0,101.0,266.0,539.0,475.0
13,28.0,18.0,106.0,1.0,30.0,23.0,470.0,151.0,26.0,94.0,16.0,35.0,42.0,23.0,77.0,47.0,135.0,21.0,70.0,22.0,20.0,24.0,12.0,6.0,99.0,15.0,81.0,87.0,104.0,478.0,257.0,229.0,174.0,272.0,23.0,230.0,3546.0,853.0,647.0,70.0,120.0,230.0,272.0
14,23.0,12.0,91.0,6.0,57.0,10.0,453.0,134.0,20.0,112.0,17.0,34.0,33.0,31.0,73.0,53.0,158.0,21.0,76.0,25.0,24.0,22.0,11.0,11.0,95.0,13.0,83.0,57.0,113.0,449.0,303.0,277.0,140.0,244.0,26.0,231.0,3538.0,830.0,639.0,51.0,132.0,231.0,244.0
15,12.0,15.0,71.0,8.0,68.0,10.0,373.0,100.0,18.0,73.0,4.0,43.0,42.0,24.0,41.0,22.0,94.0,19.0,66.0,16.0,23.0,14.0,11.0,9.0,80.0,8.0,64.0,83.0,85.0,320.0,254.0,319.0,96.0,192.0,11.0,194.0,2882.0,657.0,538.0,45.0,91.0,194.0,192.0
16,41.0,25.0,203.0,16.0,108.0,27.0,959.0,269.0,70.0,236.0,45.0,71.0,89.0,72.0,123.0,122.0,287.0,45.0,138.0,64.0,33.0,32.0,25.0,22.0,230.0,23.0,193.0,131.0,263.0,986.0,685.0,643.0,377.0,612.0,64.0,504.0,7833.0,1844.0,1359.0,109.0,306.0,504.0,612.0
17,28.0,38.0,175.0,17.0,133.0,31.0,899.0,258.0,51.0,202.0,27.0,85.0,88.0,61.0,143.0,87.0,299.0,38.0,147.0,42.0,31.0,44.0,29.0,16.0,187.0,21.0,168.0,155.0,258.0,748.0,441.0,530.0,227.0,480.0,58.0,401.0,6643.0,1558.0,1303.0,114.0,253.0,401.0,480.0
18,29.0,25.0,203.0,11.0,80.0,32.0,893.0,271.0,50.0,225.0,41.0,89.0,105.0,49.0,170.0,106.0,275.0,33.0,123.0,47.0,45.0,31.0,39.0,17.0,206.0,36.0,174.0,151.0,173.0,659.0,490.0,508.0,314.0,403.0,54.0,395.0,6552.0,1583.0,1255.0,97.0,275.0,395.0,403.0
19,5.0,17.0,101.0,2.0,61.0,16.0,568.0,154.0,27.0,142.0,19.0,42.0,63.0,31.0,98.0,54.0,167.0,19.0,65.0,35.0,26.0,17.0,13.0,5.0,117.0,16.0,75.0,86.0,137.0,385.0,287.0,340.0,148.0,262.0,22.0,312.0,3934.0,971.0,769.0,40.0,169.0,312.0,262.0
20,13.0,32.0,186.0,6.0,87.0,12.0,670.0,179.0,36.0,184.0,23.0,63.0,75.0,59.0,103.0,65.0,210.0,30.0,119.0,32.0,35.0,35.0,28.0,5.0,172.0,17.0,184.0,162.0,180.0,584.0,376.0,398.0,214.0,340.0,123.0,362.0,5399.0,1353.0,1098.0,63.0,220.0,362.0,340.0
21,20.0,26.0,136.0,9.0,83.0,11.0,690.0,161.0,35.0,157.0,13.0,54.0,75.0,34.0,97.0,76.0,188.0,17.0,99.0,29.0,32.0,26.0,17.0,17.0,150.0,14.0,145.0,105.0,156.0,541.0,397.0,511.0,263.0,386.0,30.0,294.0,5094.0,1172.0,965.0,66.0,192.0,294.0,386.0
22,17.0,20.0,121.0,4.0,70.0,18.0,694.0,178.0,43.0,134.0,27.0,55.0,57.0,40.0,96.0,89.0,202.0,26.0,94.0,34.0,43.0,27.0,30.0,13.0,164.0,14.0,142.0,98.0,154.0,689.0,421.0,388.0,278.0,379.0,49.0,406.0,5314.0,1279.0,954.0,59.0,177.0,406.0,379.0
23,16.0,20.0,129.0,8.0,70.0,19.0,568.0,166.0,33.0,148.0,31.0,39.0,61.0,49.0,60.0,72.0,181.0,17.0,66.0,29.0,20.0,20.0,17.0,13.0,129.0,18.0,135.0,109.0,130.0,468.0,383.0,427.0,212.0,343.0,31.0,245.0,4482.0,1052.0,818.0,63.0,181.0,245.0,343.0
